created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Mar 27 23:59:57 +0000 2023;1640503958497026048;"I'm using #Watusi on iPhone by @FouadRaheb to add new features for #WhatsApp! https://t.co/DRTWayizzA";0;0;0;0;en;1566174671799828482;1640503958497026048;Hantengu8;https://twitter.com/Hantengu8/status/1640503958497026048
Mon Mar 27 23:59:57 +0000 2023;1640503957499023360;"@nagisa2works ありがとうございます✨️ iPhoneユーザー機能使えてないあるあるです🤣";0;0;0;1;ja;1184365628548734977;1640169079632986112;uetani_blog;https://twitter.com/uetani_blog/status/1640503957499023360
Mon Mar 27 23:59:56 +0000 2023;1640503956358017026;"when i got an iphone i used itunes and then apple music. i got spotify only two years ago because when it came time to post spotify wraps, i was the only friend posting apple replay 😐";0;0;0;0;en;1594474111358599177;1640503956358017026;missuschaitea;https://twitter.com/missuschaitea/status/1640503956358017026
Mon Mar 27 23:59:56 +0000 2023;1640503952650240006;"acabei de ver o bofe jogando sal grosso no iPhone";0;1;0;1;pt;3393117993;1640503952650240006;afrojpeg;https://twitter.com/afrojpeg/status/1640503952650240006
Mon Mar 27 23:59:55 +0000 2023;1640503951274696704;"iPhone seから13miniへ。カメラのレンズが二つなったのとひとまわりさらに小さく。変化わからない https://t.co/8Esx6XwD9e";0;0;0;11;ja;2158240699;1640503951274696704;youheishio;https://twitter.com/youheishio/status/1640503951274696704
Mon Mar 27 23:59:54 +0000 2023;1640503944714809344;"iphone、やっとios16にアプデした";0;1;0;0;ja;1596473752287850497;1640503944714809344;nanonanica_;https://twitter.com/nanonanica_/status/1640503944714809344
Mon Mar 27 23:59:53 +0000 2023;1640503940168187905;"素朴な疑問だけどメルカリとかでiPhoneを「アクティベーションON」で売ってる人って  ・パスを忘れた ・パクったもの  のどちらかと思うんだけどそれ以外にある？";0;0;0;0;ja;954232313847558144;1640503940168187905;tono9G;https://twitter.com/tono9G/status/1640503940168187905
Mon Mar 27 23:59:41 +0000 2023;1640503892982083585;"@Traycee48063303 @DanielRegha Wetin de cause this disrespect be say Apple no de sell cheap iPhones like Android companies does, you can get an Android of less than 50k. iPhone good normally does make it better than Android, I feel Android is more functional.";0;3;0;1;en;1573448875943264256;1640416974546300929;Okik_day;https://twitter.com/Okik_day/status/1640503892982083585
Mon Mar 27 23:59:37 +0000 2023;1640503873306775552;"@zazzybritches @kristyshl @doug_in_nc @Ldogls @tRick_the_only @politiolyc @RockyMtnView @GDThor1 @sbootsie1 @BandieraNancy @GangstaMimi @moriartydg @MairScott3 @bettypge69 @BernadetteNTF @impinkestgirl @vaato5455 @SnyderGm @CirclesSpinning @CunningSq16 @gojoe_joe @McGeezer72 @keriRN @Cha51brolll19 @Ezim79 @CartistNy @bingbingbong500 @RegVickers @BonJS0370 @TammieCroft71 @OklahomaPatrio1 @62WalterP @ldog562 @poppij @TranMariefrance @TilghmanChris @PaulineFulham @KeepsAtIt @alice4u2010 @patricia_millin @sugar1420 @RonReedwlvslvfr @bobbiejaneV @Beleafer1 @TJNugent520 @yolalindayola @oldmanliver @nugent578 @VickiPriddy PI was having that problem a couple of days ago. I'm not having the problem on my iphone. (Yet🤷🏼‍♂️)";0;1;0;5;en;1512998019687346177;1587518627959349248;ADirtyRottenDog;https://twitter.com/ADirtyRottenDog/status/1640503873306775552
Mon Mar 27 23:59:34 +0000 2023;1640503862158041089;"@becathropic eu tenho uma teoria que depois que vc se acostuma a usar iphone por alguma razão fica instintivo não responder…  o layout do wpp do android torna as mensagens não lidas muito mais incomodas do que no ios";0;0;0;0;pt;955453956;1639330023914995726;cailanedefaria;https://twitter.com/cailanedefaria/status/1640503862158041089
Mon Mar 27 23:59:33 +0000 2023;1640503859708588032;"Retro Football Management: Dirige los mejores equipos de fútbol de la historia y compite en tablas de clasificación para ver quién es el mejor entrenador. ¡Únete a mí en RFM! Android: https://t.co/BHGsgtrkmB iPhone: https://t.co/GAYUabgjz9";0;0;0;0;es;919771070;1640503859708588032;losa_david;https://twitter.com/losa_david/status/1640503859708588032
